sent.seconds;sent.microseconds;received.seconds;received.microseconds;sampleTimeStamp.seconds;sampleTimeStamp.microseconds;command;
1589347314;443046;1589347314;443061;1589347314;443046;0;
1589347314;449778;1589347314;449793;1589347314;449778;4;
1589347314;457149;1589347314;457164;1589347314;457149;0;
1589347314;463710;1589347314;463725;1589347314;463710;0;
1589347314;470391;1589347314;470407;1589347314;470391;0;
1589347314;477459;1589347314;477475;1589347314;477459;4;
1589347314;483796;1589347314;483834;1589347314;483796;0;
1589347314;491118;1589347314;491134;1589347314;491118;0;
1589347314;497327;1589347314;497343;1589347314;497327;0;
1589347314;505531;1589347314;505548;1589347314;505531;4;
1589347314;511914;1589347314;511932;1589347314;511914;0;
1589347314;519199;1589347314;519214;1589347314;519199;0;
1589347314;526047;1589347314;526063;1589347314;526047;0;
1589347314;532381;1589347314;532397;1589347314;532381;4;
1589347314;538694;1589347314;538711;1589347314;538694;0;
1589347314;545107;1589347314;545122;1589347314;545107;0;
1589347314;551378;1589347314;551393;1589347314;551378;0;
1589347314;557974;1589347314;558003;1589347314;557974;4;
1589347314;564059;1589347314;564074;1589347314;564059;0;
1589347314;571180;1589347314;571199;1589347314;571180;0;
1589347314;578260;1589347314;578275;1589347314;578260;0;
1589347314;584581;1589347314;584596;1589347314;584581;4;
1589347314;591190;1589347314;591220;1589347314;591190;0;
1589347314;597270;1589347314;597285;1589347314;597270;0;
1589347314;604346;1589347314;604362;1589347314;604346;0;
1589347314;610744;1589347314;610761;1589347314;610744;4;
1589347314;617508;1589347314;617537;1589347314;617508;0;
1589347314;623611;1589347314;623627;1589347314;623611;0;
1589347314;630006;1589347314;630021;1589347314;630006;0;
1589347314;636328;1589347314;636343;1589347314;636328;4;
1589347314;642922;1589347314;642951;1589347314;642922;0;
1589347314;649019;1589347314;649035;1589347314;649019;0;
1589347314;655535;1589347314;655551;1589347314;655535;0;
1589347314;661680;1589347314;661695;1589347314;661680;4;
1589347314;668276;1589347314;668292;1589347314;668276;0;
1589347314;674374;1589347314;674390;1589347314;674374;0;
1589347314;680724;1589347314;680740;1589347314;680724;1;
1589347314;687067;1589347314;687096;1589347314;687067;1;
1589347314;694414;1589347314;694431;1589347314;694414;8;
1589347314;700978;1589347314;700993;1589347314;700978;8;
