sent.seconds;sent.microseconds;received.seconds;received.microseconds;sampleTimeStamp.seconds;sampleTimeStamp.microseconds;time;grassMax;grassMean;
1589347313;433669;1589347313;433682;1589347313;433669;323;1;0.9714951;
1589347313;439879;1589347313;439892;1589347313;439879;324;1;0.9714966;
1589347313;446709;1589347313;446721;1589347313;446709;325;1;0.971498;
1589347313;453582;1589347313;453594;1589347313;453582;326;1;0.9714993;
1589347313;460000;1589347313;460013;1589347313;460000;327;1;0.9715008;
1589347313;466239;1589347313;466251;1589347313;466239;328;1;0.9715021;
1589347313;472689;1589347313;472701;1589347313;472689;329;1;0.9715035;
1589347313;479951;1589347313;479964;1589347313;479951;330;1;0.971505;
1589347313;489754;1589347313;489767;1589347313;489754;331;1;0.9715064;
1589347313;496500;1589347313;496513;1589347313;496500;332;1;0.9715077;
1589347313;503350;1589347313;503362;1589347313;503350;333;1;0.9715091;
1589347313;509739;1589347313;509752;1589347313;509739;334;1;0.9715105;
1589347313;516085;1589347313;516097;1589347313;516085;335;1;0.9715119;
1589347313;522893;1589347313;522906;1589347313;522893;336;1;0.9715134;
1589347313;529166;1589347313;529179;1589347313;529166;337;1;0.9715147;
1589347313;535267;1589347313;535280;1589347313;535267;338;1;0.9715161;
1589347313;541986;1589347313;541999;1589347313;541986;339;1;0.9715176;
1589347313;548249;1589347313;548262;1589347313;548249;340;1;0.9715189;
1589347313;555335;1589347313;555348;1589347313;555335;341;1;0.9715203;
1589347313;562083;1589347313;562096;1589347313;562083;342;1;0.9715218;
1589347313;568447;1589347313;568459;1589347313;568447;343;1;0.9715231;
1589347313;576925;1589347313;576937;1589347313;576925;344;1;0.9715245;
1589347313;585756;1589347313;585768;1589347313;585756;345;1;0.9715259;
1589347313;594753;1589347313;594766;1589347313;594753;346;1;0.9715273;
1589347313;601716;1589347313;601728;1589347313;601716;347;1;0.9715288;
1589347313;607929;1589347313;607941;1589347313;607929;348;1;0.9715302;
1589347313;614341;1589347313;614355;1589347313;614341;349;1;0.9715316;
1589347313;621400;1589347313;621414;1589347313;621400;350;1;0.9715329;
1589347313;628431;1589347313;628444;1589347313;628431;351;1;0.9715344;
1589347313;635317;1589347313;635330;1589347313;635317;352;1;0.9715357;
1589347313;641775;1589347313;641787;1589347313;641775;353;1;0.9715372;
1589347313;647980;1589347313;647992;1589347313;647980;354;1;0.9715387;
1589347313;654958;1589347313;654971;1589347313;654958;355;1;0.97154;
1589347313;661250;1589347313;661263;1589347313;661250;356;1;0.9715413;
1589347313;667576;1589347313;667589;1589347313;667576;357;1;0.9715428;
1589347313;674010;1589347313;674023;1589347313;674010;358;1;0.9715443;
1589347313;681432;1589347313;681451;1589347313;681432;359;1;0.9715456;
1589347313;688624;1589347313;688638;1589347313;688624;360;1;0.9715471;
1589347313;694992;1589347313;695004;1589347313;694992;361;1;0.9715484;
1589347313;701709;1589347313;701722;1589347313;701709;362;1;0.9715499;
1589347313;708004;1589347313;708017;1589347313;708004;363;1;0.9714876;
1589347313;716123;1589347313;716137;1589347313;716123;364;1;0.971489;
1589347313;723117;1589347313;723132;1589347313;723117;365;1;0.9714905;
1589347313;729629;1589347313;729641;1589347313;729629;366;1;0.971492;
1589347313;736365;1589347313;736377;1589347313;736365;367;1;0.9714935;
1589347313;742873;1589347313;742900;1589347313;742873;368;1;0.971495;
1589347313;749495;1589347313;749507;1589347313;749495;369;1;0.9714963;
1589347313;755875;1589347313;755888;1589347313;755875;370;1;0.9714979;
1589347313;762205;1589347313;762218;1589347313;762205;371;1;0.9714994;
1589347313;768691;1589347313;768705;1589347313;768691;372;1;0.9715009;
1589347313;775897;1589347313;775912;1589347313;775897;373;1;0.9715022;
1589347313;782895;1589347313;782913;1589347313;782895;374;1;0.9715038;
1589347313;790704;1589347313;790722;1589347313;790704;375;1;0.9715052;
1589347313;797955;1589347313;797969;1589347313;797955;376;1;0.9715067;
1589347313;823799;1589347313;823812;1589347313;823799;377;1;0.9715081;
1589347313;830587;1589347313;830601;1589347313;830587;378;1;0.9715096;
1589347313;837450;1589347313;837464;1589347313;837450;379;1;0.9715109;
1589347313;849162;1589347313;849177;1589347313;849162;380;1;0.9715125;
1589347313;856027;1589347313;856041;1589347313;856027;381;1;0.971514;
1589347313;862812;1589347313;862827;1589347313;862812;382;1;0.9715155;
1589347313;869732;1589347313;869746;1589347313;869732;383;1;0.9715168;
1589347313;876442;1589347313;876456;1589347313;876442;384;1;0.9715183;
1589347313;883396;1589347313;883410;1589347313;883396;385;1;0.9715198;
1589347313;891154;1589347313;891169;1589347313;891154;386;1;0.9715204;
1589347313;897947;1589347313;897961;1589347313;897947;387;1;0.9715219;
1589347313;904836;1589347313;904849;1589347313;904836;388;1;0.9715234;
1589347313;911658;1589347313;911672;1589347313;911658;389;1;0.9715248;
